id,name,district,population,population_abs2,population_rel2,cat11000_abs,cat11000_rel,municipality
09161,Ingolstadt (Krfr.St),Oberbayern,133639,2637,2.012946367231035,27.6400000000001,1.793047077216502,Kreisfreie Stadt
09162,"München, Landeshauptstadt",Oberbayern,1464301,34717,2.4284687013844586,14.489999999999782,0.17142350122740863,Kreisfreie Stadt
09163,Rosenheim (Krfr.St),Oberbayern,62672,1783,2.9282793279574304,3.8799999999999955,0.6245673904994922,Kreisfreie Stadt
09171,Altötting (Lkr),Oberbayern,109422,1957,1.821058018889871,46.87999999999988,2.438009652188378,Landkreis
09172,Berchtesgadener Land (Lkr),Oberbayern,104480,1504,1.4605344934742077,17.86999999999989,1.1295828065739502,Landkreis
09173,Bad Tölz-Wolfratshausen (Lkr),Oberbayern,125668,2328,1.8874655424031133,14.700000000000273,0.6801053006574478,Landkreis
09174,Dachau (Lkr),Oberbayern,150839,4560,3.117330580602821,45.41000000000008,2.248888184546512,Landkreis
09175,Ebersberg (Lkr),Oberbayern,139016,4143,3.0717786361984976,21.079999999999927,1.1105550140926652,Landkreis
09176,Eichstätt (Lkr),Oberbayern,130808,3619,2.8453718481944192,47.4699999999998,1.848966650826905,Landkreis
09177,Erding (Lkr),Oberbayern,135429,3590,2.723018226776599,26.659999999999854,1.291497720743888,Landkreis
09178,Freising (Lkr),Oberbayern,175803,5446,3.1968160979589917,30.860000000000127,1.2526180773164963,Landkreis
09179,Fürstenfeldbruck (Lkr),Oberbayern,216857,6579,3.128715319719609,19.389999999999873,0.6694471105709764,Landkreis
09180,Garmisch-Partenkirchen (Lkr),Oberbayern,87877,1946,2.264607650324097,10.3599999999999,0.6351970275722046,Landkreis
09181,Landsberg am Lech (Lkr),Oberbayern,118725,2607,2.245129954012298,38.440000000000055,1.6176476776824402,Landkreis
09182,Miesbach (Lkr),Oberbayern,98828,2055,2.1235261901563454,30.720000000000027,1.5161086544535705,Landkreis
09183,Mühldorf a.Inn (Lkr),Oberbayern,113222,2926,2.6528613911655907,62.569999999999936,3.2500181797404935,Landkreis
09184,München (Lkr),Oberbayern,343405,10605,3.186598557692308,-16.26000000000022,-0.37992962189292384,Landkreis
09185,Neuburg-Schrobenhausen (Lkr),Oberbayern,95759,2254,2.4105662798780814,45.22999999999979,2.356477839313521,Landkreis
09186,Pfaffenhofen a.d.Ilm (Lkr),Oberbayern,125085,3491,2.871029820550356,90.11999999999989,3.7897074036383165,Landkreis
09187,Rosenheim (Lkr),Oberbayern,257466,5616,2.229898749255509,49.98999999999978,1.0201395421922241,Landkreis
09188,Starnberg (Lkr),Oberbayern,134732,2859,2.167994964852548,33.98000000000002,1.2090719536581727,Landkreis
09189,Traunstein (Lkr),Oberbayern,175431,3453,2.0078149530753935,62.620000000000346,1.8193386811392611,Landkreis
09190,Weilheim-Schongau (Lkr),Oberbayern,133859,2669,2.0344538455674974,34.63000000000011,1.344410582914382,Landkreis
09261,Landshut (Krfr.St),Niederbayern,70025,2516,3.726910486009273,14.099999999999909,1.7734287547008325,Kreisfreie Stadt
09262,Passau (Krfr.St),Niederbayern,51074,1122,2.2461563100576556,14.930000000000064,1.8802105634335018,Kreisfreie Stadt
09263,Straubing (Krfr.St),Niederbayern,47142,1115,2.422491146500967,11.990000000000009,2.1393141348178295,Kreisfreie Stadt
09271,Deggendorf (Lkr),Niederbayern,117601,1902,1.643920863620256,45.960000000000036,1.6912603495860177,Landkreis
09272,Freyung-Grafenau (Lkr),Niederbayern,78180,253,0.32466282546485814,25.26000000000022,1.0070806621376032,Landkreis
09273,Kelheim (Lkr),Niederbayern,119969,3474,2.9821022361474743,54.659999999999854,2.258369726442256,Landkreis
09274,Landshut (Lkr),Niederbayern,155442,3623,2.386394324821004,64.74000000000024,2.0078340885196253,Landkreis
09275,Passau (Lkr),Niederbayern,188904,2620,1.4064546606257113,123.77999999999975,2.6053243079409927,Landkreis
09276,Regen (Lkr),Niederbayern,77187,922,1.2089425031141414,32.809999999999945,1.675056413817043,Landkreis
09277,Rottal-Inn (Lkr),Niederbayern,119617,1453,1.229646931383501,68.9699999999998,2.3903926801372406,Landkreis
09278,Straubing-Bogen (Lkr),Niederbayern,99221,1254,1.2800228648422427,74.67000000000007,3.2960775485340497,Landkreis
09279,Dingolfing-Landau (Lkr),Niederbayern,95035,1585,1.6960941680042803,41.38999999999987,1.9179085112692704,Landkreis
09361,Amberg (Krfr.St),Oberpfalz,42348,813,1.9573853376670276,8.850000000000023,1.5262567905492839,Kreisfreie Stadt
09362,Regensburg (Krfr.St),Oberpfalz,148638,6346,4.459843139459703,21.710000000000036,1.7134694006408768,Kreisfreie Stadt
09363,Weiden i.d.OPf. (Krfr.St),Oberpfalz,42494,677,1.6189587966616448,6.7999999999999545,1.2358468276902301,Kreisfreie Stadt
09371,Amberg-Sulzbach (Lkr),Oberpfalz,103009,-36,-0.03493619292542093,52.51000000000022,2.2666839333506097,Landkreis
09372,Cham (Lkr),Oberpfalz,126918,1074,0.8534375893963955,85.55000000000018,2.4009991299710975,Landkreis
09373,Neumarkt i.d.OPf. (Lkr),Oberpfalz,131662,2687,2.083349486334561,67.36999999999989,2.643640273428605,Landkreis
09374,Neustadt a.d.Waldnaab (Lkr),Oberpfalz,94528,-656,-0.6891914607497058,27.240000000000236,1.2486592040485271,Landkreis
09375,Regensburg (Lkr),Oberpfalz,190481,3276,1.7499532597954115,82.13000000000011,2.046644455021421,Landkreis
09376,Schwandorf (Lkr),Oberpfalz,145382,1768,1.2310777500800758,55.51000000000022,1.60299634120634,Landkreis
09377,Tirschenreuth (Lkr),Oberpfalz,72918,-332,-0.45324232081911264,20.62000000000012,1.1624891474703807,Landkreis
09461,Bamberg (Krfr.St),Oberfranken,75743,3791,5.268790304647543,-15.990000000000009,-2.301911781642291,Kreisfreie Stadt
09462,Bayreuth (Krfr.St),Oberfranken,73065,1464,2.044664180667868,8.050000000000068,0.9105819806572104,Kreisfreie Stadt
09463,Coburg (Krfr.St),Oberfranken,41071,9,0.02191807510593736,-6.689999999999941,-0.8962662272416625,Kreisfreie Stadt
09464,Hof (Krfr.St),Oberfranken,45183,858,1.9357021996615906,4.899999999999977,0.7132979110561143,Kreisfreie Stadt
09471,Bamberg (Lkr),Oberfranken,146042,1347,0.9309236670237395,62.02000000000044,2.074254428944593,Landkreis
09472,Bayreuth (Lkr),Oberfranken,103876,-739,-0.7063996558810878,61.38000000000011,2.2645435494820143,Landkreis
09473,Coburg (Lkr),Oberfranken,86734,19,0.021910857406446403,15.300000000000182,0.718704640577227,Landkreis
09474,Forchheim (Lkr),Oberfranken,115259,1359,1.1931518876207199,51.98000000000002,2.3101092835461383,Landkreis
09475,Hof (Lkr),Oberfranken,95915,-693,-0.7173318979794634,35.929999999999836,1.3462676948210035,Landkreis
09476,Kronach (Lkr),Oberfranken,67613,-385,-0.5661931233271567,15.060000000000173,0.8339516906072548,Landkreis
09477,Kulmbach (Lkr),Oberfranken,71993,-548,-0.7554348575288458,24.279999999999973,1.3817672735136595,Landkreis
09478,Lichtenfels (Lkr),Oberfranken,66640,100,0.15028554253080853,10.480000000000018,0.690336604966736,Landkreis
09479,Wunsiedel i.Fichtelgebirge (Lkr),Oberfranken,73260,-143,-0.19481492582047055,9.070000000000164,0.5039980884747342,Landkreis
09561,Ansbach (Krfr.St),Mittelfranken,41532,1522,3.8040489877530614,-12.92999999999995,-2.2077279013779005,Kreisfreie Stadt
09562,Erlangen (Krfr.St),Mittelfranken,110238,3815,3.584751416517106,-0.7400000000000091,-0.06707455245864573,Kreisfreie Stadt
09563,Fürth (Krfr.St),Mittelfranken,125403,3884,3.1962080003949995,12.399999999999864,1.1933059386217184,Kreisfreie Stadt
09564,Nürnberg (Krfr.St),Mittelfranken,511628,10556,2.106683271066833,8.519999999999982,0.24603229607041321,Kreisfreie Stadt
09565,Schwabach (Krfr.St),Mittelfranken,40707,766,1.9178287974762775,-6.649999999999977,-1.2083219769237716,Kreisfreie Stadt
09571,Ansbach (Lkr),Mittelfranken,182178,2759,1.5377412648604663,30.559999999999945,0.8579281148321044,Landkreis
09572,Erlangen-Höchstadt (Lkr),Mittelfranken,134640,1810,1.3626439810283821,19.529999999999745,0.8069180934752322,Landkreis
09573,Fürth (Lkr),Mittelfranken,115971,2124,1.8656618092703365,38.679999999999836,2.0985698474359165,Landkreis
09574,Nürnberger Land (Lkr),Mittelfranken,168893,2975,1.7930544003664461,39.75,1.2854218609028027,Landkreis
09575,Neustadt a.d.Aisch-Bad Windsheim (Lkr),Mittelfranken,99332,1524,1.5581547521675119,34.679999999999836,1.9037372096087037,Landkreis
09576,Roth (Lkr),Mittelfranken,125563,1673,1.3503914763096294,36.07999999999993,1.561039770170638,Landkreis
09577,Weißenburg-Gunzenhausen (Lkr),Mittelfranken,93974,1456,1.5737478112367322,17.860000000000127,0.9812971143491422,Landkreis
09661,Aschaffenburg (Krfr.St),Unterfranken,69187,1020,1.4963252013437587,2.5399999999999636,0.3837205789044269,Kreisfreie Stadt
09662,Schweinfurt (Krfr.St),Unterfranken,52724,1114,2.1584964154233677,11.990000000000009,2.388398637477343,Kreisfreie Stadt
09663,Würzburg (Krfr.St),Unterfranken,126010,1791,1.441808419001924,9.910000000000082,0.7968031389701927,Kreisfreie Stadt
09671,Aschaffenburg (Lkr),Unterfranken,173504,728,0.4213548177987684,10.0300000000002,0.3241307769120711,Landkreis
09672,Bad Kissingen (Lkr),Unterfranken,103100,199,0.1933897629760644,30.889999999999873,1.4269216555801862,Landkreis
09673,Rhön-Grabfeld (Lkr),Unterfranken,79855,179,0.22465987248355843,25.11999999999989,1.439549796846967,Landkreis
09674,Haßberge (Lkr),Unterfranken,84373,221,0.2626200209145356,85.10000000000014,4.196190391660879,Landkreis
09675,Kitzingen (Lkr),Unterfranken,89748,1256,1.4193373412285857,35.679999999999836,2.29651275053743,Landkreis
09676,Miltenberg (Lkr),Unterfranken,128543,602,0.4705293846382317,33.460000000000036,1.405669730628982,Landkreis
09677,Main-Spessart (Lkr),Unterfranken,126301,386,0.3065560100067506,39.88999999999987,1.3923162571858343,Landkreis
09678,Schweinfurt (Lkr),Unterfranken,114823,1076,0.9459590143036739,84.48999999999978,3.864749767858848,Landkreis
09679,Würzburg (Lkr),Unterfranken,161041,1788,1.1227418007824028,50,1.8879537224783547,Landkreis
09761,Augsburg (Krfr.St),Schwaben,289584,8473,3.0141118632853217,20.38000000000011,1.0130080573408344,Kreisfreie Stadt
09762,Kaufbeuren (Krfr.St),Schwaben,43134,1120,2.665778073975342,9.200000000000045,1.8267378829696492,Kreisfreie Stadt
09763,Kempten (Allgäu) (Krfr.St),Schwaben,67529,1905,2.9029013775448007,13.289999999999964,2.199930476237765,Kreisfreie Stadt
09764,Memmingen (Krfr.St),Schwaben,43293,1092,2.587616407194142,4.449999999999932,0.8192194403534483,Kreisfreie Stadt
09771,Aichach-Friedberg (Lkr),Schwaben,131399,2105,1.6280724550249819,31.090000000000146,1.2448249077091917,Landkreis
09772,Augsburg (Lkr),Schwaben,247539,4842,1.9950802852940086,188.53999999999996,4.0457057024837715,Landkreis
09773,Dillingen a.d.Donau (Lkr),Schwaben,94556,1078,1.1532125205930808,17.009999999999764,0.6541552897742476,Landkreis
09774,Günzburg (Lkr),Schwaben,123498,1670,1.3707850412056342,51.63999999999987,1.884657776220607,Landkreis
09775,Neu-Ulm (Lkr),Schwaben,171011,3164,1.8850500753662562,51.30000000000018,1.879967897624211,Landkreis
09776,Lindau (Bodensee) (Lkr),Schwaben,80961,1574,1.9826923803645435,22.039999999999964,1.6872727272727244,Landkreis
09777,Ostallgäu (Lkr),Schwaben,138265,2371,1.7447422255581557,43.289999999999964,1.642472853099412,Landkreis
09778,Unterallgäu (Lkr),Schwaben,141165,2453,1.768412249841398,27.230000000000018,0.848910725642529,Landkreis
09779,Donau-Ries (Lkr),Schwaben,132298,2095,1.6090259057010976,88.03999999999996,3.150846226249654,Landkreis
09780,Oberallgäu (Lkr),Schwaben,153759,2778,1.839966618316212,74.11000000000013,2.9154438665921893,Landkreis
